code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;OBČANÉ 2011-SPRAVEDL. PRO LIDI;Referendum o Evropské unii;TOP 09;ANO 2011;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
541095;Bezděkov;103;73;73;3;0;0;8;0;3;8;0;0;1;0;0;4;0;1;1;34;0;1;0;1;0;0;8;0
559725;Břasy;1817;1106;1103;123;3;1;76;0;42;116;11;8;16;0;4;106;2;1;43;384;3;23;0;13;6;4;113;5
559733;Březina;281;185;184;25;0;0;7;0;12;9;1;0;1;0;0;7;0;0;8;91;0;3;0;3;1;0;16;0
559741;Bujesily;55;39;38;5;0;0;5;0;3;1;0;0;2;0;0;4;0;0;2;13;0;1;0;0;0;0;2;0
559750;Bušovice;488;357;355;36;4;0;21;1;19;35;5;4;4;1;4;38;0;3;20;112;1;5;0;6;0;0;34;2
559768;Cekov;113;75;75;24;0;0;3;0;3;11;0;0;1;0;0;8;0;0;1;16;0;1;0;0;0;0;7;0
540927;Čilá;17;17;17;7;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0
559776;Dobřív;986;615;613;48;1;0;37;0;33;68;11;4;12;0;0;61;0;0;24;215;4;13;0;4;3;0;73;2
530379;Drahoňův Újezd;112;85;85;9;0;0;6;0;0;15;0;1;13;2;0;7;0;0;4;22;0;2;0;0;0;0;4;0
559792;Ejpovice;519;351;349;51;0;0;25;1;16;26;4;2;6;1;0;38;0;0;26;73;0;16;0;10;4;0;48;2
559806;Hlohovice;279;189;189;15;0;0;19;1;3;17;5;0;2;0;0;15;0;0;5;76;1;2;0;0;0;1;27;0
559814;Holoubkov;1172;720;715;75;2;0;71;0;22;89;7;9;13;1;1;56;1;0;23;213;4;18;1;5;5;1;97;1
559822;Hrádek;2256;1205;1197;119;3;0;91;3;34;174;16;13;13;2;2;93;3;2;37;373;3;24;0;13;9;4;151;15
541001;Hradiště;24;21;21;6;0;0;4;0;1;0;0;1;0;0;0;2;0;0;1;3;0;0;0;0;0;1;2;0
559849;Hůrky;202;144;144;8;0;0;10;0;2;24;4;2;0;0;1;11;0;0;3;55;1;8;0;3;0;1;9;2
559857;Cheznovice;583;333;330;27;2;0;23;0;10;50;3;4;0;1;1;31;0;0;4;130;2;9;0;0;0;0;33;0
540803;Chlum;35;27;27;6;0;0;1;0;3;6;0;0;0;0;0;3;0;0;0;4;0;2;0;0;0;0;2;0
541141;Chomle;53;35;35;1;0;0;1;0;0;5;0;0;0;0;0;4;0;0;1;15;0;0;0;0;0;0;7;1
579017;Kakejcov;80;60;60;6;0;0;7;0;6;12;1;1;2;0;0;2;0;0;1;13;0;1;0;0;0;0;8;0
566811;Kamenec;52;28;27;3;0;0;2;0;2;4;0;0;0;0;0;1;0;0;1;11;0;0;0;1;0;0;2;0
541150;Kamenný Újezd;645;413;413;55;0;0;25;0;23;26;4;3;8;1;1;45;0;0;19;146;1;14;0;1;1;1;37;2
559903;Kařez;511;287;286;38;0;0;20;0;15;35;4;1;8;0;0;28;0;0;12;85;2;3;0;3;0;1;29;2
530361;Kařízek;42;40;38;3;0;0;6;0;3;0;0;1;1;1;0;5;0;0;2;14;0;0;0;0;0;0;2;0
559911;Klabava;376;268;267;22;0;0;15;1;12;10;4;2;0;1;0;20;0;1;17;132;0;6;0;0;0;2;21;1
559920;Kladruby;149;85;85;3;0;0;8;0;5;13;0;1;0;0;0;6;0;0;2;37;0;4;0;0;0;0;6;0
579033;Kornatice;149;93;91;19;0;0;4;0;6;5;0;0;2;0;1;6;0;0;12;24;0;2;0;2;0;0;8;0
567001;Lhota pod Radčem;249;164;164;23;0;0;11;0;7;18;4;2;1;0;0;11;0;0;6;54;0;6;0;0;1;0;20;0
